gdpgrowth,tfpgrowth,gdp,tfp,sexratio,maleyoung,femaleyoung,totalyoung,logfertilityrate,loglifeexpectancy,gcratio,inflation,ruleoflaw,vanda,vandasquared,country,year,femaleschooling
0.104004128974992,0.010691660361460409,13.175429150023833,-0.1399695520245507,1.0775121858100305,29.05219878,0.2696229255,27.98482475,0.9229087841757304,4.306041385591795,0.12545707088,0.083448980326,-0.3914724082283073,0.18417816898226463,0.033921597929659625,Argentina,2000,8.62
0.3207107631287063,0.10559292520131836,13.274372837885323,-0.1293346433092177,1.080142270672528,27.97934713,0.2590339059,26.91889293,0.881699287104536,4.317588336167188,0.13419602104,0.088477450264,-0.7761136207065393,0.007864039817663659,6.184312225379947e-05,Argentina,2005,9.21
0.1293533604308459,-0.014858913972210397,13.552542886483382,-0.02895286835656523,1.081039386599015,26.90412063,0.2488727142,25.87377916,0.8554785924773977,4.327228408637144,0.16076087505,0.10223873433750001,-0.8293324598862457,0.1772648492664628,0.03142282678546178,Argentina,2010,9.48
0.8080743792159759,0.9003068971904933,9.304576733625924,-0.6914594096469,1.2114295326764772,28.44531858,0.234807868,25.81111863,0.49871255588218866,4.278934006164818,0.10692433841,0.030195769792,-0.718948613846235,-0.6508174666661136,0.4235633749176979,Armenia,2000,10.69
0.20840862855879716,0.0069268531753630125,9.896839133696615,-0.04944401168113548,1.2442953987304919,23.95296847,0.1925022667,21.46153689,0.5289798343460327,4.300385755274804,0.10876052609999999,0.040597561940000006,-0.6230138830785247,-0.9102725858050817,0.8285961804682699,Armenia,2005,10.75
0.20026262393085537,0.1441216031950543,10.086143444683788,-0.042541038939147284,1.303781154442445,22.21487726,0.1703880838,19.46073956,0.5135718494340158,4.309397587112248,0.12210910275,0.060455169997499995,-0.7281665968668557,-1.0945038891757206,1.197938763420778,Armenia,2010,10.84
0.18540323178900064,0.06545780599331086,13.515163539256065,-0.06481175419565705,1.0780211510573232,21.65207998,0.2008502334,20.86679961,0.5615567601723483,4.38086132181051,0.17598348366,0.033947085646000005,1.503107253464263,1.29297955194721,1.671796121753608,Australia,2000,11.16
0.14204299101697027,-0.001489230145005238,13.685246535951771,-0.0014071826172139526,1.073566663341998,20.50108492,0.1909623838,19.79736748,0.6553414658240465,4.397197557412867,0.17359174528000001,0.029424674238000003,1.4837167897164927,1.3284522858673287,1.7647854758261308,Australia,2005,11.48
0.12023107391293064,0.003268759596935844,13.8180652918509,-0.002897522767604116,1.0588550807061319,19.55951916,0.1847232876,19.01599833,0.6464485775507051,4.406064660660645,0.17978955905000002,0.025904361587499997,1.5098816485225064,1.2900491756882553,1.664226875693947,Australia,2010,11.81
0.0889888874759428,0.011002129041906006,12.5859966301227,-0.015605043809389057,1.1164249470200935,17.78149037,0.159271704,16.82714781,0.31918073951115183,4.364861866637277,0.18825773065999996,0.020554995018,1.5937488550227108,1.131080060810975,1.2793421039641588,Austria,2000,8.09
0.0663695972586662,-0.0005894301131749158,12.671246269683483,-0.004662997896015901,1.113075453003948,16.85152187,0.1513960426,15.97175795,0.3378997886123981,4.382416802448535,0.19359046264000002,0.019290433104000002,1.6173171025110007,1.1914679231792156,1.4195958119649932,Austria,2005,8.55
0.04286671325415181,-0.008203328853500835,12.73550624946201,-0.005252601791411673,1.1068132783388498,15.48261595,0.1398846242,14.71666475,0.3629054936893685,4.393326875059603,0.199284835875,0.0239157663075,1.5449718330988984,1.3011187369935602,1.6929099677557171,Austria,2010,9.0
0.2860572549813618,0.0326105776890846,10.22574908150917,0.1531091001428512,0.7983320199537848,27.20998678,0.34083546820000005,30.14110446,0.9777996684513617,4.316758025940543,0.16844609392000004,0.0030772035599999996,0.05531655344221245,-1.3692867557824133,1.8749462195611264,Bahrain,2000,6.9
0.3105330938129376,-0.15889837851367317,10.47733022809198,0.18519923729685703,0.7225362049861388,22.26987904,0.30821817490000003,25.68423515,0.8358612827591205,4.326861799059203,0.12783381204,0.028343718438,0.37499749045722935,-1.0722346434625596,1.1496871306412824,Bahrain,2005,6.8
0.16489860970126258,0.04480470698261363,10.747764224368602,0.012156445097597245,0.6323644340370317,16.66642982,0.2635573559,20.31152538,0.7560046019408126,4.335161023646233,0.143575453225,0.0191436886425,0.18961279317823782,-1.2189784980668257,1.485908578749254,Bahrain,2010,6.81
0.05501809971512661,-0.04683389883909139,8.010015284966064,0.010633240191753164,1.112008765235941,23.15323377,0.2082108927,21.94169289,0.5591585405566285,4.29789733111782,0.15477373004,0.016305505812,1.1759093931100981,1.0752039785243273,1.156063595434542,Barbados,2000,8.74
0.040228220769851886,0.049416603584549135,8.063573207875011,-0.03733285739487912,1.115231733152616,21.90324861,0.19640087309999998,20.72705641,0.5697358356447105,4.308868567648166,0.17021590845999998,0.058352099506,1.1080462281465278,0.7332954655804014,0.5377222398407776,Barbados,2005,9.28
0.012032997777757792,0.005021722026070874,8.103013340002125,0.010901536729225596,1.1307698009021827,21.19615049,0.1874488554,19.9203059,0.5801184502619401,4.318682115865076,0.175205417325,0.05398443494499999,0.8306677228091,0.9922185177900557,0.984497587045495,Barbados,2010,9.46
0.09403669902036071,0.003059146238882482,12.7704566900968,0.03428286896500213,1.0914914052910767,18.35078513,0.1681257868,17.5658063,0.5164100020598914,4.358701836197878,0.21691231472,0.020691480552000003,1.0932750399539335,1.1826207869853271,1.3985919258097945,Belgium,2000,9.97
