gdpgrowth,tfpgrowth,gdp,tfp,sexratio,maleyoung,femaleyoung,totalyoung,logfertilityrate,loglifeexpectancy,gcratio,inflation,ruleoflaw,vanda,vandasquared,eduquality,country,year,femaleschooling
0.104004128974992,0.010691660361460409,13.175429150023833,-0.1399695520245507,1.0775121858100305,29.05219878,0.2696229255,27.98482475,0.9229087841757304,4.306041385591795,0.12545707088,0.083448980326,-0.3914724082283073,0.18417816898226463,0.033921597929659625,-0.9883456214002766,Argentina,2000,8.62
0.3207107631287063,0.10559292520131836,13.274372837885323,-0.1293346433092177,1.080142270672528,27.97934713,0.2590339059,26.91889293,0.881699287104536,4.317588336167188,0.13419602104,0.088477450264,-0.7761136207065393,0.007864039817663659,6.184312225379947e-05,-1.3749814082358172,Argentina,2005,9.21
0.8080743792159759,0.9003068971904933,9.304576733625924,-0.6914594096469,1.2114295326764772,28.44531858,0.234807868,25.81111863,0.49871255588218866,4.278934006164818,0.10692433841,0.030195769792,-0.718948613846235,-0.6508174666661136,0.4235633749176979,-0.5363474851773395,Armenia,2000,10.69
0.20840862855879716,0.0069268531753630125,9.896839133696615,-0.04944401168113548,1.2442953987304919,23.95296847,0.1925022667,21.46153689,0.5289798343460327,4.300385755274804,0.10876052609999999,0.040597561940000006,-0.6230138830785247,-0.9102725858050817,0.8285961804682699,-0.14901605215121283,Armenia,2005,10.75
0.18540323178900064,0.06545780599331086,13.515163539256065,-0.06481175419565705,1.0780211510573232,21.65207998,0.2008502334,20.86679961,0.5615567601723483,4.38086132181051,0.17598348366,0.033947085646000005,1.503107253464263,1.29297955194721,1.671796121753608,1.0114181730531064,Australia,2000,11.16
0.14204299101697027,-0.001489230145005238,13.685246535951771,-0.0014071826172139526,1.073566663341998,20.50108492,0.1909623838,19.79736748,0.6553414658240465,4.397197557412867,0.17359174528000001,0.029424674238000003,1.4837167897164927,1.3284522858673287,1.7647854758261308,0.965385838355513,Australia,2005,11.48
0.0889888874759428,0.011002129041906006,12.5859966301227,-0.015605043809389057,1.1164249470200935,17.78149037,0.159271704,16.82714781,0.31918073951115183,4.364861866637277,0.18825773065999996,0.020554995018,1.5937488550227108,1.131080060810975,1.2793421039641588,0.5907782024956707,Austria,2000,8.09
0.0663695972586662,-0.0005894301131749158,12.671246269683483,-0.004662997896015901,1.113075453003948,16.85152187,0.1513960426,15.97175795,0.3378997886123981,4.382416802448535,0.19359046264000002,0.019290433104000002,1.6173171025110007,1.1914679231792156,1.4195958119649932,0.7219175765432299,Austria,2005,8.55
0.2860572549813618,0.0326105776890846,10.22574908150917,0.1531091001428512,0.7983320199537848,27.20998678,0.34083546820000005,30.14110446,0.9777996684513617,4.316758025940543,0.16844609392000004,0.0030772035599999996,0.05531655344221245,-1.3692867557824133,1.8749462195611264,-0.9595325280260645,Bahrain,2000,6.9
0.3105330938129376,-0.15889837851367317,10.47733022809198,0.18519923729685703,0.7225362049861388,22.26987904,0.30821817490000003,25.68423515,0.8358612827591205,4.326861799059203,0.12783381204,0.028343718438,0.37499749045722935,-1.0722346434625596,1.1496871306412824,-0.5137829445555391,Bahrain,2005,6.8
0.09403669902036071,0.003059146238882482,12.7704566900968,0.03428286896500213,1.0914914052910767,18.35078513,0.1681257868,17.5658063,0.5164100020598914,4.358701836197878,0.21691231472,0.020691480552000003,1.0932750399539335,1.1826207869853271,1.3985919258097945,0.8321290052745273,Belgium,2000,9.97
0.07145613503929371,-0.0285769991904411,12.860330939256395,0.03733734553706786,1.0851114918587244,17.86381948,0.1646265809,17.15006685,0.5955343516929449,4.376529847632595,0.22432516638,0.02167454318,1.0314219083727578,1.23638889295592,1.5286574946247653,0.9728333492669741,Belgium,2005,10.45
0.1947119532206214,-0.12639578307673605,9.778649623727603,0.24036791814365532,1.0422400016856632,38.39969296,0.3684342656,37.61059745,1.1645872775916426,3.9097331662262924,0.22661909444,0.07865785147399999,0.35053040690086745,0.4536813548432931,0.205826771732446,-2.295124742881956,Botswana,2000,7.57
0.249800403956854,-0.08786451415606433,9.956554736725439,0.10524007120468441,1.039997304748285,35.8197957,0.3444220051,35.12208948,1.0745244931390197,4.073719084291175,0.19094836106000002,0.09595185593600002,0.4084363379674021,0.3549955046677403,0.12602180833430365,-2.4709917346941683,Botswana,2005,8.18
0.15181380411514533,-0.01261949814566643,14.508260847273306,-0.030510120120941012,1.0622450439397606,31.04027475,0.2922138816,30.12024177,0.7723279784343866,4.260086961494299,0.19093151186,0.087294409162,-0.4497920121426438,0.06123283097370477,0.0037494595890542985,-1.7330852414036055,Brazil,2000,5.95
0.2430004861655608,0.05851069105002016,14.649598768111463,-0.04320992043061809,1.066929333474389,28.347149,0.2656890959,27.44629056,0.6376344706296866,4.282371021045309,0.19072400152000002,0.050475130018,-0.6520070119889737,0.2089119890959119,0.04364421918801042,-1.5731241769653783,Brazil,2005,6.83
0.327013332801358,0.0009548403702774877,11.168375708506604,0.09533740216106583,1.1072694920826058,16.4786866,0.1488227276,15.66025702,0.2295231582782488,4.276462846302001,0.20089793370000003,0.063981162018,-0.36265714518880054,0.2285654194131877,0.0522421509515264,-0.4091036947310209,Bulgaria,2000,9.25
0.1637697482224214,-0.09658144387213452,11.451306511132017,0.0962917869612517,1.1167471791702313,14.35442938,0.1285378611,13.58403428,0.4081282255276481,4.2882987389500995,0.17795965321999999,0.071609776354,-0.32092854469654164,0.3552996554658649,0.1262378451741623,-0.8315508570614917,Bulgaria,2005,10.41
